,X,exp,wks,bluecol,ind,south,smsa,married,gender,union,edu,col,lwage
1,1,3,32,0,0,1,0,1,0,0,9,0,5.56068
2,2,4,43,0,0,1,0,1,0,0,9,0,5.72031
3,3,5,40,0,0,1,0,1,0,0,9,0,5.99645
4,4,6,39,0,0,1,0,1,0,0,9,0,5.99645
5,5,7,42,0,1,1,0,1,0,0,9,0,6.06146
6,6,8,35,0,1,1,0,1,0,0,9,0,6.17379
7,7,9,32,0,1,1,0,1,0,0,9,0,6.24417
8,8,30,34,1,0,0,0,1,0,0,11,0,6.16331
9,9,31,27,1,0,0,0,1,0,0,11,0,6.21461
10,10,32,33,1,1,0,0,1,0,1,11,0,6.2634
11,11,33,30,1,1,0,0,1,0,0,11,0,6.54391
12,12,34,30,1,1,0,0,1,0,0,11,0,6.69703
13,13,35,37,1,1,0,0,1,0,0,11,0,6.79122
14,14,36,30,1,1,0,0,1,0,0,11,0,6.81564
15,15,6,50,1,1,0,0,1,0,1,12,0,5.65249
16,16,7,51,1,1,0,0,1,0,1,12,0,6.43615
17,17,8,50,1,1,0,0,1,0,1,12,0,6.54822
18,18,9,52,1,1,0,0,1,0,1,12,0,6.60259
19,19,10,52,1,1,0,0,1,0,1,12,0,6.6958
20,20,11,52,1,1,0,0,0,0,1,12,0,6.77878
21,21,12,46,1,1,0,0,0,0,1,12,0,6.86066
22,22,31,52,1,0,0,1,0,1,0,10,1,6.15698
23,23,32,46,1,0,0,1,0,1,0,10,1,6.23832
24,24,33,46,1,0,0,1,0,1,0,10,1,6.30079
25,25,34,49,1,0,0,1,0,1,0,10,1,6.35957
26,26,35,44,1,0,0,1,0,1,0,10,1,6.46925
27,27,36,52,1,0,0,1,0,1,0,10,1,6.56244
28,28,37,46,1,0,0,1,0,1,0,10,1,6.62141
29,29,10,50,1,0,0,0,1,0,1,16,0,6.43775
30,30,11,46,1,0,0,0,1,0,1,16,0,6.62007
31,31,12,40,1,0,0,0,1,0,1,16,0,6.63332
32,32,13,50,0,0,0,0,1,0,0,16,0,6.98286
