date,gdp,cpi,ir
1954-07-01,390.996,26.84,1.03
1954-10-01,399.734,26.75666667,0.986666667
1955-01-01,413.073,26.79333333,1.343333333
1955-04-01,421.532,26.75666667,1.5
1955-07-01,430.221,26.77666667,1.94
1955-10-01,437.092,26.85666667,2.356666667
1956-01-01,439.746,26.86,2.483333333
1956-04-01,446.010,27.03666667,2.693333333
1956-07-01,451.191,27.31666667,2.81
1956-10-01,460.463,27.55,2.926666667
1957-01-01,469.779,27.77666667,2.933333333
1957-04-01,472.025,28.01333333,3
1957-07-01,479.490,28.26333333,3.233333333
1957-10-01,474.864,28.4,3.253333333
1958-01-01,467.540,28.73666667,1.863333333
1958-04-01,471.978,28.93,0.94
1958-07-01,485.841,28.91333333,1.323333333
1958-10-01,499.555,28.94333333,2.163333333
1959-01-01,510.330,28.99333333,2.57
1959-04-01,522.653,29.04333333,3.083333333
1959-07-01,525.034,29.19333333,3.576666667
1959-10-01,528.600,29.37,3.99
1960-01-01,542.648,29.39666667,3.933333333
1960-04-01,541.080,29.57333333,3.696666667
1960-07-01,545.604,29.59,2.936666667
1960-10-01,540.197,29.78,2.296666667
1961-01-01,545.018,29.84,2.003333333
1961-04-01,555.545,29.83,1.733333333
1961-07-01,567.664,29.94666667,1.683333333
1961-10-01,580.612,29.99,2.4
1962-01-01,594.013,30.10666667,2.456666667
1962-04-01,600.366,30.22,2.606666667
1962-07-01,609.027,30.30666667,2.846666667
1962-10-01,612.280,30.38,2.923333333
1963-01-01,621.672,30.47666667,2.966666667
1963-04-01,629.752,30.53333333,2.963333333
1963-07-01,644.444,30.72,3.33
1963-10-01,653.938,30.80333333,3.453333333
1964-01-01,669.822,30.93,3.463333333
1964-04-01,678.674,30.98,3.49
1964-07-01,692.031,31.05,3.456666667
1964-10-01,697.319,31.19333333,3.576666667
1965-01-01,717.790,31.29,3.976666667
1965-04-01,730.191,31.49,4.08
1965-07-01,749.323,31.58333333,4.076666667
1965-10-01,771.857,31.75,4.166666667
1966-01-01,795.734,32.04666667,4.56
1966-04-01,804.981,32.33666667,4.913333333
1966-07-01,819.638,32.61666667,5.41
1966-10-01,833.302,32.88333333,5.563333333
1967-01-01,844.170,32.96666667,4.823333333
1967-04-01,848.983,33.16666667,3.99
1967-07-01,865.233,33.5,3.893333333
1967-10-01,881.439,33.86666667,4.173333333
1968-01-01,909.387,34.2,4.79
1968-04-01,934.344,34.53333333,5.983333333
1968-07-01,950.825,35,5.946666667
1968-10-01,968.030,35.43333333,5.916666667
1969-01-01,993.337,35.86666667,6.566666667
1969-04-01,1009.020,36.43333333,8.326666667
1969-07-01,1029.956,36.93333333,8.983333333
1969-10-01,1038.147,37.5,8.94
1970-01-01,1051.200,38.1,8.573333333
1970-04-01,1067.375,38.63333333,7.886666667
1970-07-01,1086.059,39.03333333,6.706666667
1970-10-01,1088.608,39.6,5.566666667
1971-01-01,1135.156,39.93333333,3.856666667
1971-04-01,1156.271,40.3,4.566666667
1971-07-01,1177.675,40.7,5.476666667
1971-10-01,1190.297,41,4.75
1972-01-01,1230.609,41.33333333,3.546666667
1972-04-01,1266.369,41.6,4.3
1972-07-01,1290.566,41.93333333,4.743333333
1972-10-01,1328.904,42.36666667,5.146666667
1973-01-01,1377.490,43.03333333,6.536666667
1973-04-01,1413.887,43.93333333,7.816666667
1973-07-01,1433.838,44.8,10.56
1973-10-01,1476.289,45.93333333,9.996666667
1974-01-01,1491.209,47.3,9.323333333
1974-04-01,1530.056,48.56666667,11.25
1974-07-01,1560.026,49.93333333,12.09
1974-10-01,1599.679,51.46666667,9.346666667
1975-01-01,1616.116,52.56666667,6.303333333
1975-04-01,1651.853,53.2,5.42
1975-07-01,1709.820,54.26666667,6.16
1975-10-01,1761.831,55.26666667,5.413333333
1976-01-01,1820.487,55.9,4.826666667
1976-04-01,1852.332,56.4,5.196666667
1976-07-01,1886.558,57.3,5.283333333
1976-10-01,1934.273,58.13333333,4.873333333
1977-01-01,1988.648,59.2,4.66
1977-04-01,2055.909,60.23333333,5.156666667
1977-07-01,2118.473,61.06666667,5.82
1977-10-01,2164.270,61.96666667,6.513333333
1978-01-01,2202.760,63.03333333,6.756666667
1978-04-01,2331.633,64.46666667,7.283333333
1978-07-01,2395.053,65.96666667,8.1
1978-10-01,2476.949,67.5,9.583333333
1979-01-01,2526.610,69.2,10.07333333
1979-04-01,2591.247,71.4,10.18
1979-07-01,2667.565,73.7,10.94666667
1979-10-01,2723.883,76.03333333,13.57666667
1980-01-01,2789.842,79.03333333,15.04666667
1980-04-01,2797.352,81.7,12.68666667
1980-07-01,2856.483,83.23333333,9.836666667
1980-10-01,2985.557,85.56666667,15.85333333
1981-01-01,3124.206,87.93333333,16.57
1981-04-01,3162.532,89.76666667,17.78
